,player_display_name,position,position_group,recent_team,season,passing_epa_mean_pass,mean_epa_per_pass,passing_epa_median_pass,median_epa_per_pass,rushing_epa_mean_rush,mean_epa_per_rush,rushing_epa_median_rush,median_epa_per_rush,season_games_played,week,number_weeks_played,mean_epa_per_play,median_epa_per_play
17,Colt McCoy,QB,QB,ARI,2022,-7.520995,-7.520995,-6.2334023,-6.2334023,0.30272266,0.30272266,-0.3388396,-0.3388396,4,4,4,-7.2182727,-6.572242
18,Cooper Rush,QB,QB,DAL,2022,-1.1523297,-1.1523297,1.2583513,1.2583513,-0.8222835,-0.8222835,-0.64267737,-0.64267737,7,7,7,-1.9746132,0.61567396
19,Dak Prescott,QB,QB,DAL,2022,5.022998,5.022998,5.711441,5.711441,1.0301539,1.0301539,1.3112972,1.3112972,11,11,11,6.0531516,7.0227385
20,Daniel Jones,QB,QB,NYG,2022,1.246828,1.246828,0.6245099,0.6245099,2.4547749,2.4547749,0.92484546,0.92484546,16,16,16,3.701603,1.5493553
21,David Blough,QB,QB,ARI,2022,1.7515852,1.7515852,1.7515852,1.7515852,-0.6365242,-0.6365242,-0.6365242,-0.6365242,1,1,1,1.115061,1.115061
22,Davis Mills,QB,QB,HOU,2022,-5.7546735,-5.7546735,-6.10186,-6.10186,0.24267116,0.24267116,-0.27503464,-0.27503464,14,14,14,-5.5120025,-6.3768945
23,Derek Carr,QB,QB,LV,2022,1.9530389,1.9530389,2.9331641,2.9331641,0.19233601,0.19233601,0.2044502,0.2044502,15,15,15,2.145375,3.1376143
24,Deshaun Watson,QB,QB,CLE,2022,-4.0087776,-4.0087776,-4.5595245,-4.5595245,0.81443536,0.81443536,-1.0776001,-1.0776001,5,5,5,-3.1943421,-5.6371245
25,Desmond Ridder,QB,QB,ATL,2022,-0.68886524,-0.68886524,-0.18216361,-0.18216361,-3.6164813,-3.6164813,-3.2790606,-3.2790606,3,3,3,-4.3053465,-3.4612243
26,Gardner Minshew,QB,QB,PHI,2022,1.8563832,1.8563832,0.98765486,0.98765486,-2.8435962,-2.8435962,-2.5508027,-2.5508027,5,5,5,-0.987213,-1.5631478
27,Geno Smith,QB,QB,SEA,2022,2.2678735,2.2678735,3.7732568,3.7732568,-0.22445379,-0.22445379,-0.24951868,-0.24951868,16,16,16,2.0434198,3.5237381
28,Jacob Eason,QB,QB,CAR,2022,-2.2612817,-2.2612817,-2.2612817,-2.2612817,,,,,1,1,1,,
29,Jacoby Brissett,QB,QB,CLE,2022,1.6410527,1.6410527,-0.26046678,-0.26046678,1.5258776,1.5258776,2.040855,2.040855,14,14,14,3.1669302,1.7803881
30,Jalen Hurts,QB,QB,PHI,2022,5.4849734,5.4849734,4.620432,4.620432,3.433695,3.433695,3.9477239,3.9477239,14,14,14,8.918669,8.568155
31,Jameis Winston,QB,QB,NO,2022,-2.3376412,-2.3376412,1.2357728,1.2357728,-1.0731102,-1.0731102,-0.9775296,-0.9775296,3,3,3,-3.4107513,0.25824326
32,Jared Goff,QB,QB,DET,2022,5.8421016,5.8421016,6.6618977,6.6618977,-0.9617698,-0.9617698,-0.84182334,-0.84182334,16,16,16,4.880332,5.820074
33,Jarrett Stidham,QB,QB,LV,2022,2.1704836,2.1704836,2.1704836,2.1704836,1.8589478,1.8589478,1.8589478,1.8589478,2,2,2,4.0294313,4.0294313
34,Jeff Driskel,QB,QB,HOU,2022,-0.59528846,-0.59528846,-0.78100145,-0.78100145,-1.3243948,-1.3243948,-1.2013037,-1.2013037,6,6,6,-1.9196832,-1.9823052
35,Jimmy Garoppolo,QB,QB,SF,2022,6.86422,6.86422,3.5641742,3.5641742,-0.3066392,-0.3066392,0.41724452,0.41724452,11,11,11,6.557581,3.9814186
36,Joe Burrow,QB,QB,CIN,2022,6.3956733,6.3956733,9.304123,9.304123,0.280813,0.280813,-0.1022376,-0.1022376,15,15,15,6.6764865,9.201885
37,Joe Flacco,QB,QB,NYJ,2022,-6.3563485,-6.3563485,-7.165435,-7.165435,-0.068460524,-0.068460524,-0.068460524,-0.068460524,4,4,4,-6.424809,-7.2338953
38,John Wolford,QB,QB,LA,2022,-9.87437,-9.87437,-9.87437,-9.87437,1.027849,1.027849,1.027849,1.027849,2,2,2,-8.84652,-8.84652
39,Jordan Love,QB,QB,GB,2022,0.882715,0.882715,-0.34911197,-0.34911197,0.0,0.0,0.0,0.0,4,4,4,0.882715,-0.34911197
40,Josh Allen,QB,QB,BUF,2022,6.148057,6.148057,6.2444577,6.2444577,2.8529832,2.8529832,2.8632338,2.8632338,15,15,15,9.00104,9.107692
41,Josh Johnson,QB,QB,SF,2022,-0.8358491,-0.8358491,-0.8358491,-0.8358491,-3.6153255,-3.6153255,-3.6153255,-3.6153255,1,1,1,-4.4511747,-4.4511747
42,Joshua Dobbs,QB,QB,TEN,2022,-8.409685,-8.409685,-8.409685,-8.409685,-0.20653084,-0.20653084,-0.20653084,-0.20653084,1,1,1,-8.616216,-8.616216
43,Justin Fields,QB,QB,CHI,2022,-4.38475,-4.38475,-3.748562,-3.748562,4.3455286,4.3455286,3.6205478,3.6205478,15,15,15,-0.039221287,-0.12801433
44,Justin Herbert,QB,QB,LAC,2022,0.50166696,0.50166696,0.5759123,0.5759123,0.69393927,0.69393927,0.90538335,0.90538335,16,16,16,1.1956062,1.4812956
45,Kenny Pickett,QB,QB,PIT,2022,-1.6813556,-1.6813556,-2.2273839,-2.2273839,0.9579736,0.9579736,1.1684835,1.1684835,12,12,12,-0.723382,-1.0589004
46,Kirk Cousins,QB,QB,MIN,2022,0.11584721,0.11584721,-0.9225487,-0.9225487,0.102300555,0.102300555,0.09295182,0.09295182,16,16,16,0.21814775,-0.8295969
47,Kyle Allen,QB,QB,HOU,2022,-17.002283,-17.002283,-17.002283,-17.002283,-3.0714846,-3.0714846,-3.0714846,-3.0714846,2,2,2,-20.073769,-20.073769
48,Kyler Murray,QB,QB,ARI,2022,-1.6588039,-1.6588039,-0.5783838,-0.5783838,1.043977,1.043977,0.5236584,0.5236584,11,11,11,-0.6148269,-0.05472541
49,Lamar Jackson,QB,QB,BAL,2022,0.7856113,0.7856113,-0.3487705,-0.3487705,3.3143418,3.3143418,2.3651836,2.3651836,12,12,12,4.099953,2.0164132
50,Mac Jones,QB,QB,NE,2022,-2.1260052,-2.1260052,-2.2350502,-2.2350502,-0.29375157,-0.29375157,0.0,0.0,13,13,13,-2.4197567,-2.2350502
51,Malik Willis,QB,QB,TEN,2022,-6.472948,-6.472948,-4.326914,-4.326914,-0.9837575,-0.9837575,-0.96632946,-0.96632946,7,7,7,-7.4567056,-5.2932434
52,Marcus Mariota,QB,QB,ATL,2022,0.46566427,0.46566427,-0.44220906,-0.44220906,0.76105946,0.76105946,0.76538163,0.76538163,13,13,13,1.2267237,0.32317257
53,Matt Ryan,QB,QB,IND,2022,-2.0633337,-2.0633337,-3.6865716,-3.6865716,-1.0032091,-1.0032091,-1.3422701,-1.3422701,12,12,12,-3.0665429,-5.028842
54,Matthew Stafford,QB,QB,LA,2022,-2.6708164,-2.6708164,0.43298313,0.43298313,-0.35751992,-0.35751992,-0.30429175,-0.30429175,9,9,9,-3.0283363,0.12869138
55,Mike White,QB,QB,NYJ,2022,-1.9069664,-1.9069664,-3.0985417,-3.0985417,1.2879107,1.2879107,1.2879107,1.2879107,4,4,4,-0.61905575,-1.810631
56,Mitchell Trubisky,QB,QB,PIT,2022,1.104324,1.104324,-1.4143336,-1.4143336,-0.54384196,-0.54384196,0.6341227,0.6341227,7,7,7,0.560482,-0.78021085
57,Nate Sudfeld,QB,QB,DET,2022,-0.89872783,-0.89872783,-0.89872783,-0.89872783,-1.7406414,-1.7406414,-1.7406414,-1.7406414,2,2,2,-2.6393692,-2.6393692
58,Nathan Peterman,QB,QB,CHI,2022,-0.7024723,-0.7024723,-0.7024723,-0.7024723,,,,,2,2,2,,
59,Nick Foles,QB,QB,IND,2022,-17.085613,-17.085613,-17.085613,-17.085613,-2.1278229,-2.1278229,-2.1278229,-2.1278229,2,2,2,-19.213436,-19.213436
60,Nick Mullens,QB,QB,MIN,2022,2.2850113,2.2850113,2.1543367,2.1543367,,,,,3,3,3,,
61,Patrick Mahomes,QB,QB,KC,2022,11.9351015,11.9351015,8.033855,8.033855,1.3515781,1.3515781,2.0540779,2.0540779,16,16,16,13.286679,10.087934
62,Phillip Walker,QB,QB,CAR,2022,-3.3219852,-3.3219852,-1.2408087,-1.2408087,0.35796392,0.35796392,-0.050441004,-0.050441004,6,6,6,-2.9640212,-1.2912498
63,Russell Wilson,QB,QB,DEN,2022,-4.289265,-4.289265,-6.549268,-6.549268,1.0855596,1.0855596,0.98111486,0.98111486,14,14,14,-3.2037055,-5.568153
64,Ryan Tannehill,QB,QB,TEN,2022,1.6430961,1.6430961,1.6290236,1.6290236,-0.29616344,-0.29616344,0.57758963,0.57758963,12,12,12,1.3469326,2.206613
65,Sam Darnold,QB,QB,CAR,2022,6.793671,6.793671,7.452139,7.452139,-1.4289491,-1.4289491,-1.3329759,-1.3329759,5,5,5,5.3647223,6.119163
66,Sam Ehlinger,QB,QB,IND,2022,-9.191878,-9.191878,0.6514081,0.6514081,0.69419974,0.69419974,1.3008634,1.3008634,3,3,3,-8.497679,1.9522715
67,Skylar Thompson,QB,QB,MIA,2022,-4.2745247,-4.2745247,-2.7118683,-2.7118683,-2.0173934,-2.0173934,-1.5664868,-1.5664868,6,6,6,-6.291918,-4.278355
68,Taylor Heinicke,QB,QB,WAS,2022,-1.4123325,-1.4123325,1.1429917,1.1429917,-0.48796523,-0.48796523,0.0,0.0,9,9,9,-1.9002978,1.1429917
69,Teddy Bridgewater,QB,QB,MIA,2022,0.07663651,0.07663651,-0.6528812,-0.6528812,1.1234133,1.1234133,1.2899352,1.2899352,5,5,5,1.2000499,0.637054
70,Tom Brady,QB,QB,TB,2022,3.6816962,3.6816962,1.7527281,1.7527281,-1.4620943,-1.4620943,-1.066773,-1.066773,16,16,16,2.2196019,0.68595505
71,Trace McSorley,QB,QB,ARI,2022,-6.8324523,-6.8324523,-5.4139943,-5.4139943,-1.8501027,-1.8501027,-0.13281009,-0.13281009,4,4,4,-8.682555,-5.5468044
72,Trevor Lawrence,QB,QB,JAX,2022,4.9486294,4.9486294,4.5094404,4.5094404,0.014481315,0.014481315,-0.2891409,-0.2891409,16,16,16,4.963111,4.2202997
73,Trevor Siemian,QB,QB,CHI,2022,-3.5771956,-3.5771956,-3.5771956,-3.5771956,-0.8665188,-0.8665188,-0.8665188,-0.8665188,2,2,2,-4.4437146,-4.4437146
74,Trey Lance,QB,QB,SF,2022,-4.8628564,-4.8628564,-4.8628564,-4.8628564,2.4350278,2.4350278,2.4350278,2.4350278,2,2,2,-2.4278286,-2.4278286
75,Tua Tagovailoa,QB,QB,MIA,2022,7.4898643,7.4898643,5.8563313,5.8563313,-0.91644824,-0.91644824,-0.6105695,-0.6105695,13,13,13,6.573416,5.245762
76,Tyler Huntley,QB,QB,BAL,2022,-1.4340662,-1.4340662,-0.6896064,-0.6896064,-0.7692563,-0.7692563,-1.8856407,-1.8856407,5,5,5,-2.2033224,-2.5752473
77,Tyrod Taylor,QB,QB,NYG,2022,-2.1926684,-2.1926684,-2.1926684,-2.1926684,4.5685472,4.5685472,4.5685472,4.5685472,2,2,2,2.3758788,2.3758788
78,Zach Wilson,QB,QB,NYJ,2022,-4.0234504,-4.0234504,-2.3100674,-2.3100674,-0.011498481,-0.011498481,-0.30090782,-0.30090782,9,9,9,-4.034949,-2.6109753
